,address,location,latitude,longtitude
47,제주특별자치도 제주시 한림읍 대림리 417-1,반석아파트,33.422921,126.275921
48,제주특별자치도 제주시 한림읍 대림리 1771-6,제주 대림요양병원,33.420501,126.269015
49,제주특별자치도 제주시 한림읍 대림리 2015,사형제횟집,33.424419,126.266056
50,제주특별자치도 제주시 한림읍 한림리 1328-62(도),리사무소 앞,33.418245,126.262176
51,제주특별자치도 제주시 한림읍 한림리 1531-4(도),영신연립 옆 한흥블럭사,33.413014,126.263642
52,제주특별자치도 제주시 한림읍 한림리 1449-2(도),왕수학교실 삼거리,33.414207,126.264171
53,제주특별자치도 제주시 한림읍 한림리 1328-39,안동국밥 맞은편,33.417448,126.263262
54,제주특별자치도 제주시 한림읍 한림리 1421-2,중앙약국 옆,33.415741,126.264278
55,제주특별자치도 제주시 한림읍 한림리 1213-2,김밥천국 옆 주차장,33.415861,126.2647
56,제주특별자치도 제주시 한림읍 한림리 1388,한림고물상 앞(주민자치센터 뒤),33.414548,126.262697
57,제주특별자치도 제주시 한림읍 한림리 1592-4,성용수산입구 인도블럭,33.414721,126.258682
58,제주특별자치도 제주시 한림읍 한림리 1582-7,미화연립 앞,33.414103,126.264359
59,제주특별자치도 제주시 한림읍 한림리 1525,유성빌라 앞,33.411354,126.26123
60,제주특별자치도 제주시 한림읍 한림리 1377-41(제),농협 농기계수리센터 위,33.414383,126.254047
61,제주특별자치도 제주시 한림읍 한림리 1535-1,한림초 옆 삼영노블리안 아파트 내,33.41201,126.262609
62,제주특별자치도 제주시 한림읍 한림리 1328-15,한림 선원복지회관,33.417288,126.261392
63,제주특별자치도 제주시 한림읍 한림리 579(전),원광어린이집 앞,33.416668,126.270894
64,제주특별자치도 제주시 한림읍 한림리 1582(도) (명랑로4길2),노인회관 뒤 주차장,33.416211,126.266705
65,제주특별자치도 제주시 한림읍 한림리 1582(도) (한림남2길 25),산아진동산,33.413203,126.262573
66,제주특별자치도 제주시 한림읍 한림리 1309(대),천주교 버스정류소 옆,33.419574,126.265843
67,제주특별자치도 제주시 한림읍 한림리 680-1(전),삼손가든 아래,33.412792,126.270897
68,제주특별자치도 제주시 한림읍 한림리 1232-1,감협 뒤 공터,33.416647,126.266494
69,제주특별자치도 제주시 한림읍 한림리 905-36,읍사무소 옆 도로,33.413033,126.267901
70,제주특별자치도 제주시 한림읍 한림리 915-9,백부장집 맞은편,33.411132,126.265942
71,제주특별자치도 제주시 한림읍 대림리 1776-1(도),대명종합타일,33.419284,126.268064
72,제주특별자치도 제주시 한림읍 한림리 1253-4,오렌지빌 빌라,33.417867,126.269346
73,제주특별자치도 제주시 한림읍 한림리 1252-3,성우아파트 입구  (자체설치),33.41755,126.269448
74,제주특별자치도 제주시 한림읍 한림리 551-6,대호아파트 나동 옆 공터,33.416667,126.270398
75,제주특별자치도 제주시 한림읍 한림리 887-2,한림체육관 내부,33.410831,126.268135
76,제주특별자치도 제주시 한림읍 한림리 600,정낭장례식장 내부,33.412733,126.272198
77,제주특별자치도 제주시 한림읍 한림리 89-1(대),한림3리사무소 옆,33.414382,126.284523
78,제주특별자치도 제주시 한림읍 한림리 65-5(도),양공원씨댁 앞,33.415101,126.281321
79,제주특별자치도 제주시 한림읍 한림리 175-10,강구리사무소 앞,33.412084,126.277399
80,제주특별자치도 제주시 한림읍 상대리 2720-5(전),상대리사무소 내부,33.40967,126.293482
81,제주특별자치도 제주시 한림읍 상대리 4556-1(대),서부요양원 입구,33.394684,126.278522
82,제주특별자치도 제주시 한림읍 상대리 3509,상대리 한흥블럭사 앞 도로변,33.398752,126.287082
83,제주특별자치도 제주시 한림읍 상대리 4337,길정신건강센터 내부,33.405484,126.27927
84,제주특별자치도 제주시 한림읍 동명리 2086-1(도),농협창고 앞(진근동 회관 앞),33.405711,126.263811
85,제주특별자치도 제주시 한림읍 동명리 2062-4(답) (명월성로71),개명물(황룡사입구 맞은편),33.40523,126.262735
86,제주특별자치도 제주시 한림읍 동명리 1324-2,관정 옆 공터,33.399086,126.265502
87,제주특별자치도 제주시 한림읍 동명리 1540-1(도),한림공고 후문 옆,33.407347,126.269246
88,제주특별자치도 제주시 한림읍 동명리 175-4,문수동 선과장앞 안전지대,33.385716,126.283458
89,제주특별자치도 제주시 한림읍 동명리 1601-2,삼일식당 사거리,33.408449,126.263919
90,제주특별자치도 제주시 한림읍 동명리 1832,칠사돈 옆 공터,33.406275,126.260889
91,제주특별자치도 제주시 한림읍 동명리 663(대),"서부소방서 앞
 대도로변",33.403089,126.270316
92,제주특별자치도 제주시 한림읍 동명리 1581-1,한림 코아루아파트,33.408089,126.264704
93,제주특별자치도 제주시 한림읍 동명리 1169,까사루나 펜션(하나카센터),33.392348,126.264689
94,제주특별자치도 제주시 한림읍 명월리 382-2(전),명월상동 팽나무 공터,33.374656,126.281303
95,제주특별자치도 제주시 한림읍 명월리 1777-5(과),리사무소 옆,33.386686,126.267297
96,제주특별자치도 제주시 한림읍 명월리 2089-5,한림고 입구 사거리(국도변),33.396461,126.260238
97,제주특별자치도 제주시 한림읍 명월리 2124(도),명월리 교차로(명월성),33.397686,126.262142
98,제주특별자치도 제주시 한림읍 명월리 152-1(전),기성영농 뒤쪽,33.36912,126.283553
99,제주특별자치도 제주시 한림읍 명월리 1965,동산슈퍼 뒤 브라운트리타운,33.392934,126.258683
100,제주특별자치도 제주시 한림읍 금악리 1911-3(도),금악리사무소 앞,33.357417,126.296155
101,제주특별자치도 제주시 한림읍 금악리 1164-6 (금악북로 170),탐라인공수정센터,33.359273,126.309252
102,제주특별자치도 제주시 한림읍 금악리 1181-22,제일양돈단지 입구,33.355255,126.313942
103,제주특별자치도 제주시 한림읍 금악리 77-5,성이시돌 젊음의 집 후문,33.344159,126.326335
104,제주특별자치도 제주시 한림읍 금악리 109-7,이시돌 주택 주차장,33.342894,126.32273
105,제주특별자치도 제주시 한림읍 금악리 109-6,이시돌 복지의원 내부,33.344518,126.320879
106,제주특별자치도 제주시 한림읍 금악리 2048-2,새물통 삼거리,33.357931,126.297923
107,제주특별자치도 제주시 한림읍 금악리 2033-8,성산교회 사거리,33.359688,126.29842
108,제주특별자치도 제주시 한림읍 금악리 2031-16,금악 동물병원 옆 삼거리,33.3608,126.298243
109,제주특별자치도 제주시 한림읍 금악리 2234-5(도),금악리 농협창고 주변,33.361863,126.295767
110,제주특별자치도 제주시 한림읍 금악리 산31-15,제주우유 안쪽,33.351858,126.358314
111,제주특별자치도 제주시 한림읍 상명리 2361(도),중천이물 공터,33.360588,126.279123
112,제주특별자치도 제주시 한림읍 상명리 1111-2,리사무소 맞은편 도로,33.359224,126.270772
113,제주특별자치도 제주시 한림읍 상명리 211-12(도),조성동 삼거리,33.351924,126.277277
114,제주특별자치도 제주시 한림읍 상명리 1758-1,동카름,33.363471,126.268686
115,제주특별자치도 제주시 한림읍 월림리 3256(도) (중산간서로 3869),부녀회관 뒤,33.349003,126.255996
116,제주특별자치도 제주시 한림읍 월림리 3256(도) (중산간서로 3877),월림편의점 앞,33.349917,126.256053
117,"제주특별자치도 제주시 한림읍 금능리 295-1(도),2316(도)",월림리 창고,33.351238,126.255344
118,제주특별자치도 제주시 한림읍 옹포리 127-24(임),리사무소 공터,33.403034,126.255244
119,제주특별자치도 제주시 한림읍 옹포리 319-2(도),영농법인 삼다 옆 골목,33.406034,126.256674
120,제주특별자치도 제주시 한림읍 옹포리 363,안성상회 옆,33.405004,126.254749
121,제주특별자치도 제주시 한림읍 옹포리 500-9,옹포횟집 앞,33.40415,126.251665
122,제주특별자치도 제주시 한림읍 옹포리 618,비치빌라 앞 도로변,33.401566,126.252334
123,제주특별자치도 제주시 한림읍 옹포리 636-1,썬빌리지아파트내,33.400264,126.252931
124,제주특별자치도 제주시 한림읍 옹포리 155,맨도롱빌라,33.401564,126.254832
125,제주특별자치도 제주시 한림읍 협재리 2872(도),통물 옆,33.382016,126.254513
126,제주특별자치도 제주시 한림읍 협재리 2447-45(잡),해수욕장 동측 주차장,33.394775,126.240884
127,제주특별자치도 제주시 한림읍 협재리 2447(임),해수욕장 서측 주차장,33.393844,126.239456
128,제주특별자치도 제주시 한림읍 협재리 1567-1(대),블루오션,33.39756,126.246913
129,제주특별자치도 제주시 한림읍 협재리 1468-1,우체국 맞은편,33.398087,126.24491
130,제주특별자치도 제주시 한림읍 협재리 1723-2,일주도로 하얀집간판 앞,33.395671,126.242506
131,제주특별자치도 제주시 한림읍 협재리 1816,협재교회 입구 도로변,33.394944,126.243346
132,제주특별자치도 제주시 한림읍 협재리 1942-3,KT 송신탑,33.395249,126.247665
133,제주특별자치도 제주시 한림읍 협재리 2504-2,해수욕장 화장실,33.393101,126.238553
134,제주특별자치도 제주시 한림읍 협재리 876-9,제주리조텔 내부,33.378169,126.251564
135,제주특별자치도 제주시 한림읍 협재리 977-1,낭빌레 하우스,33.382363,126.251587
136,제주특별자치도 제주시 한림읍 협재리 899-3,"금강산콘도방향
 솔밭마을(하르방산장)",33.375151,126.250738
137,제주특별자치도 제주시 한림읍 금능리 1494-7(유),포구 앞 공터,33.389304,126.228851
138,제주특별자치도 제주시 한림읍 금능리 1401(잡),금능 오폐수 정화시설 뒤,33.389177,126.229862
139,제주특별자치도 제주시 한림읍 금능리 1700-1,세운석유 앞,33.388023,126.225576
140,제주특별자치도 제주시 한림읍 금능리 1634-2(도),능향원 앞,33.38595,126.223613
141,제주특별자치도 제주시 한림읍 금능리 2036-1,"금능해수욕장
 화장실",33.390003,126.235826
142,제주특별자치도 제주시 한림읍 금능리 1270-4(도) (한림로 201),"바다와 공원
 맞은편 도로",33.386601,126.229409
143,제주특별자치도 제주시 한림읍 금능리 407-7,금능농공단지 삼다 삼거리,33.359428,126.242717
144,제주특별자치도 제주시 한림읍 금능리 407-15,금능농공단지 대산파이프 삼거리,33.358146,126.242018
145,제주특별자치도 제주시 한림읍 금능리 340-1,감귤복합처리가공공장 입구,33.352356,126.251232
146,제주특별자치도 제주시 한림읍 금능리 350-4,서부농업기술센터 내부,33.353565,126.248375
147,제주특별자치도 제주시 한림읍 월령리 424-1(대),리사무소 내부,33.376146,126.215489
148,제주특별자치도 제주시 한림읍 월령리 317-1,월령리 포구 공터,33.37851,126.216293
149,제주특별자치도 제주시 한림읍 월령리 262-1,삼거리부근 (연못),33.377425,126.216521
150,제주특별자치도 제주시 한림읍 월령리 376-1,올레길 주차장,33.376319,126.21441
151,제주특별자치도 제주시 한림읍 월령리 346,월령코지펜션 앞,33.380118,126.21601
152,제주특별자치도 제주시 애월읍 애월리 2060-2,내고향주유소 동측,33.464767,126.316634
153,제주특별자치도 제주시 애월읍 애월리 489-20,한울카센터 안길,33.466038,126.327419
154,제주특별자치도 제주시 애월읍 애월리 405-4,애월중 북측길,33.464177,126.327676
155,제주특별자치도 제주시 애월읍 일주서로 6233,애월읍사무소 동측 주차장,33.462281,126.32994
156,제주특별자치도 제주시 애월읍 곽지리 1996-1,"곽지리사무소
맞은편",33.445406,126.308285
157,제주특별자치도 제주시 애월읍 곽지리 1568-1,해변입구(다시정식당맞은편),33.449534,126.305235
158,제주특별자치도 제주시 애월읍 곽지리 1572-2,"해변 입구(길가온
펜션 앞)",33.44903,126.305253
159,제주특별자치도 제주시 애월읍 곽지리 2060-12  앞,"해변입구(세븐
일레븐 골목 )",33.446639,126.305017
160,제주특별자치도 제주시 애월읍 금성2길24,리사무소,33.442167,126.300805
161,제주특별자치도 제주시 애월읍 금성1길15 맞은편,슴성 554-2(하동주차장),33.445564,126.300612
162,제주특별자치도 제주시 애월읍 금성2길64,금성리(상동) 756-1 창고,33.439192,126.30158
163,제주특별자치도 제주시 애월읍 봉성리 3605-3(구몰동길 65),선운정사 앞,33.429482,126.307701
164,제주특별자치도 제주시 애월읍 봉성리 4096-4,중화동,33.417209,126.311278
165,제주특별자치도 제주시 애월읍 봉성로2길 13,마을소유(문화주택2차),33.416351,126.312126
166,제주특별자치도 제주시 애월읍 봉성리 3248-2,신명동,33.417372,126.317248
167,제주특별자치도 제주시 애월읍 봉성리 3375-1,구몰동,33.42521,126.313314
168,제주특별자치도 제주시 애월읍 봉성로3길 17,중화동회관 앞,33.419174,126.310783
169,제주특별자치도 제주시 애월읍 봉성로2길 55 삼거리,봉성리 3080-9도,33.415228,126.314484
170,제주특별자치도 제주시 애월읍 봉성리 3816-4,리사무소 옆,33.421612,126.312702
171,제주특별자치도 제주시 애월읍 어음1리 3642-2,어음1리사무소 맞은편,33.416656,126.3311
172,제주특별자치도 제주시 애월읍 어음1리 3395-1,계원동 정류장 옆,33.409819,126.333892
173,제주특별자치도 제주시 애월읍 어음2리 2960-17 대,마을회관(어음2리 2960-5)옆,33.400983,126.337029
174,제주특별자치도 제주시 애월읍 어음2리 2922-1,어음분교후문,33.402691,126.337906
175,제주특별자치도 제주시 애월읍 납읍리 1753-4,,33.439599,126.329631
176,제주특별자치도 제주시 애월읍 애납로 161 옆,,33.440094,126.328073
177,제주특별자치도 제주시 애월읍 납읍리 2420-2,부농삼거리,33.436996,126.327981
178,제주특별자치도 제주시 애월읍 납읍리 1609-5,,33.438438,126.331798
179,제주특별자치도 제주시 애월읍 납읍리 1622-4,,33.438048,126.333835
180,제주특별자치도 제주시 애월읍 납읍리 1595,,33.437389,126.331896
181,제주특별자치도 제주시 애월읍 고내리 663-4,구도로버스정거장앞공터,33.463012,126.339015
182,제주특별자치도 제주시 애월읍 고내5길33앞,고내리 961-3,33.465022,126.336856
183,제주특별자치도 제주시 애월읍 고내리 216-1,애월119센타,33.46666,126.349166
184,제주특별자치도 제주시 애월읍 상가리 1196-4,리사무소내 저온저장고 남측,33.449521,126.345954
185,제주특별자치도 제주시 애월읍 상가리 1794-3 앞,상가리버스표지판 남측 안길,33.451595,126.341996
186,제주특별자치도 제주시 애월읍 상가중길43 맞은편 퐁낭,,33.44992,126.343465
187,제주특별자치도 제주시 애월읍 상가리 1249-1 입구,,33.451417,126.347325
188,제주특별자치도 제주시 애월읍 하가로 141,하가리사무소,33.457118,126.350011
189,제주특별자치도 제주시 애월읍 하가로141-2,연화주택,33.456652,126.350285
190,제주특별자치도 제주시 애월읍 하가리 887,하가로 1길,33.457122,126.352702
191,제주특별자치도 제주시 애월읍 하가리 1373-2,고하상로,33.455343,126.348946
192,제주특별자치도 제주시 애월읍 신엄8길10 앞,,33.470563,126.367773
193,제주특별자치도 제주시 애월읍 애월해안로 466 남측도로,고스트타운 입구,33.47304,126.366938
194,제주특별자치도 제주시 애월읍 신엄안3길46 앞,섯동네,33.47386,126.362241
195,제주특별자치도 제주시 애월읍 신엄9길 22-2,리사무소(신엄9길24) 동측,33.473586,126.36796
196,제주특별자치도 제주시 애월읍 신엄리 1005-3,어촌계공동창고 앞,33.475882,126.366516
197,제주특별자치도 제주시 애월읍 신엄리 3091-1,농수산직거래장터 내,33.46956,126.360019
198,제주특별자치도 제주시 애월읍 신엄706,리사무소입구,33.472672,126.372911
199,제주특별자치도 제주시 애월읍 신엄753,구엄초뒷편,33.472805,126.374134
200,제주특별자치도 제주시 애월읍 신엄786-1,노인회관앞,33.473868,126.373078
201,제주특별자치도 제주시 애월읍 신엄814-3,명보빌라 앞 무료주차장,33.475207,126.372986
202,제주특별자치도 제주시 애월읍 신엄리 851,금정누리빌 근처,33.476336,126.372567
203,제주특별자치도 제주시 애월읍 신엄1231-1 서측 도로안,칠성교통근방,33.472738,126.370549
204,제주특별자치도 제주시 애월읍 신엄리 1211-1,새가름,33.474751,126.370961
205,제주특별자치도 제주시 애월읍 혜성샤르빌(중엄안3길13)  북측 코너,,33.475563,126.372119
206,제주특별자치도 제주시 애월읍 구엄길9옆,대신빌라옆,33.475338,126.375934
207,제주특별자치도 제주시 애월읍 구엄1103-1,해오름가는길,33.476628,126.377057
208,제주특별자치도 제주시 애월읍 중구엄길 39 북쪽,구엄정자 옆,33.477229,126.379482
209,제주특별자치도 제주시 애월읍 구엄동1길34(해오름어린이집) 옆,구엄리 873-1 임 세갈래 길,33.477229,126.379482
210,제주특별자치도 제주시 애월읍 구엄4길48,돌빌레식당앞,33.483658,126.377516
211,제주특별자치도 제주시 애월읍 일주서로6798,소망빌라 옆 골목,33.47467,126.378085
212,제주특별자치도 제주시 애월읍 구엄남길 3,만미식품 뒤편,,
213,제주특별자치도 제주시 애월읍 신용로142,리사무소 앞,33.459094,126.369367
214,제주특별자치도 제주시 애월읍 신엄리1728-1,용흥2길2 맞은편 무료주차장,33.46196,126.368445
215,제주특별자치도 제주시 애월읍 신엄리1724-1,무료주차장 서측 삼거리,33.462135,126.367032
216,제주특별자치도 제주시 애월읍 용흥2길39,용흥리 향기마을 자연체험장,33.460393,126.366495
217,제주특별자치도 제주시 애월읍 신엄리1796-1,용흥6길입구 용흥상동 버스정류장 맞은편,33.45601,126.369733
218,제주특별자치도 제주시 애월읍 신엄리1913-3,용흥입구 북측 삼거리,33.454529,126.370432
219,제주특별자치도 제주시 애월읍 하귀2길 31,윤정빌리지 서측,33.48898,126.415653
220,제주특별자치도 제주시 애월읍 하귀12길 36,동귀어촌계횟집 동측,33.487177,126.408888
221,제주특별자치도 제주시 애월읍 하귀10길 17,리사무소북측,33.486867,126.41029
222,제주특별자치도 제주시 애월읍 비바리짬뽕(하귀3길 35)옆,하귀1리 123-10차,33.486157,126.415872
223,제주특별자치도 제주시 애월읍 하귀12길 22,동귀어촌계횟집 앞,33.486059,126.408706
224,제주특별자치도 제주시 애월읍 하귀동남3길33,하귀일초등학교 옆 무료주차장,33.483841,126.414349
225,제주특별자치도 제주시 애월읍 하귀동남1길 61,동귀카센터 근처,33.486871,126.418405
226,제주특별자치도 제주시 애월읍 일주서로 7219-1 고운각펜션 동측,하귀1리 271-4 도로,33.489607,126.419119
227,제주특별자치도 제주시 애월읍 하귀 7길 30-3,망고레이길건너편,33.484417,126.416778
228,제주특별자치도 제주시 애월읍 하귀1길 50,묘연사 주변,33.484144,126.419846
229,제주특별자치도 제주시 애월읍 하귀1리 238-4,어린이공원 남측주차장,33.483122,126.415169
230,제주특별자치도 제주시 애월읍 하귀5길 2-1 북쪽,바글바글식당 주변,33.487357,126.416297
231,제주특별자치도 제주시 애월읍 하귀1리 159,하귀일초등학교 주변,33.482744,126.414553
232,제주특별자치도 제주시 애월읍 하귀10길 56,후거프라이빗펜션 주변,33.489075,126.411404
233,제주특별자치도 제주시 애월읍 하귀10길 33,안성전기앞쪽,33.488142,126.409814
234,제주특별자치도 제주시 애월읍 하귀14길 3-10,세한빌라 앞쪽,33.484397,126.406808
235,제주특별자치도 제주시 애월읍 하귀로 17길 20,명보빌라건너편 100m,33.480984,126.407155
236,제주특별자치도 제주시 애월읍 하귀로 115-5,선진종합건축 옆,33.484251,126.407919
237,제주특별자치도 제주시 애월읍 하광로208,예평교회 주변,33.469544,126.419446
238,제주특별자치도 제주시 애월읍 일주서로 7217,고등어쌈밥가게,33.489043,126.418983
239,제주특별자치도 제주시 애월읍 하귀로23길 17-1,하귀2리사무소주차장,33.479182,126.403526
240,제주특별자치도 제주시 애월읍 하귀로21길 13-1,새마을금고 북측,33.481117,126.404682
241,제주특별자치도 제주시 애월읍 하귀미수동길 30,하귀2리 1752-5 (그린마트 앞),33.480462,126.400994
242,제주특별자치도 제주시 애월읍 하귀로85-5 맞으편,고성천 앞,33.4824208,126.405395
243,제주특별자치도 제주시 애월읍 하귀로 72,"임닛물 앞
새마을금고 맞은편",33.4812632,126.4048288
244,제주특별자치도 제주시 애월읍 하귀로 25길 입구,하귀2리 3018-9 소왕천 주차장 옆,33.475976,126.4026245
245,제주특별자치도 제주시 애월읍 시드니호텔(가문동길4) 앞,하귀2리 2594-2 도로,33.4837855,126.395036
246,제주특별자치도 제주시 애월읍 애월해안로 857 맞은편,고우니식당 앞,33.4882602,126.3897125
247,제주특별자치도 제주시 애월읍 하귀2리 2729-1,가문동포구 팔각정 앞,33.4867135,126.392659
248,제주특별자치도 제주시 애월읍 번대동길 20-1 앞,하귀2리 2988-2 도로,33.4768104,126.3917866
249,제주특별자치도 제주시 애월읍 학원동길4(영일운수) 앞,하귀2리 3020 도로 퐁낭아래,33.4732691,126.3990252
250,제주특별자치도 제주시 애월읍 학원동길 30앞,학원동길 30앞,33.4732251,126.3991777
251,제주특별자치도 제주시 애월읍 개수전길 23 앞,,,
252,제주특별자치도 제주시 애월읍 답동3길 18(탐라노인복지센터) 앞,하귀2리 1228-3 도로,33.4765445,126.4067248
253,제주특별자치도 제주시 애월읍 하귀로23길 58 맞은편,하귀2리 2101-3 도로,33.4750434,126.4037831
254,제주특별자치도 제주시 애월읍 하귀26길 4-1,교회교육원,33.478853,126.4087298
255,제주특별자치도 제주시 애월읍 상귀리 528-4 앞 도로,리사무소 앞,33.4727819,126.4089365
256,제주특별자치도 제주시 애월읍 상귀리 257-4,동동네,33.4737191,126.4115066
257,제주특별자치도 제주시 애월읍 애월읍 항몽로 95,반석,33.475973,126.4100315
258,제주특별자치도 제주시 애월읍 상귀리 1357,소앵동,33.4641625,126.4023766
259,제주특별자치도 제주시 애월읍 상귀리 241-2,경찰서관사,33.474905,126.4122391
260,제주특별자치도 제주시 애월읍 하소로163,수산리사무소 옆,33.4669663,126.3933044
261,제주특별자치도 제주시 애월읍 하소로136(수산리531-3도),하소로136도로,33.4695247,126.3942662
262,제주특별자치도 제주시 애월읍 엄수로165(공솔빌라앞),엄수로165,33.4687542,126.3898399
263,제주특별자치도 제주시 애월읍 신성감귤선과장 측변,엄수로103,33.4687253,126.3841575
264,제주특별자치도 제주시 애월읍 예원로103 고운돌업체옆 공터,상귀리 1572-2,33.4604354,126.3982447
265,제주특별자치도 제주시 애월읍 번대동길 62,수산리 673-1,,
266,제주특별자치도 제주시 애월읍 소길버스승차대 앞,장전리 1638-2,33.4413018,126.3791764
267,제주특별자치도 제주시 애월읍 소길운동장 위쪽 삼거리,소길리 793-3 도로,33.4346431,126.3794615
268,제주특별자치도 제주시 애월읍 장전리453-2,성덕슈퍼옆(장전4길입구),33.450733,126.388327
269,제주특별자치도 제주시 애월읍 장전리386-1 대,장전보건소(하소로353) 북측,33.451264,126.390944
270,제주특별자치도 제주시 애월읍 장전4길14 사거리,장전리465-1,33.449664,126.388233
271,제주특별자치도 제주시 애월읍 유수암리 1897앞,보건소(유수암평화길14-2)맞은편,33.441132,126.402547
272,제주특별자치도 제주시 애월읍 유수암리 1042-16,경로당옆,33.4232823,126.4052429
273,제주특별자치도 제주시 애월읍 유수암리 2017-1앞,광상로 310 동측도로,33.44319,126.400657
274,제주특별자치도 제주시 애월읍 유수암리 2580-4,거문덕이,33.42949,126.396797
275,제주특별자치도 제주시 애월읍 고성6길 4 부근,위치확인필요,33.458224,126.41532
276,제주특별자치도 제주시 애월읍 고성3길 10 부근,농산물간이집하장 앞,33.458977,126.414148
277,제주특별자치도 제주시 애월읍 광상로 115 입구 맞은편,솔베이지펜션 맞은편,33.446644,126.417589
